epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3584,1.94733,3.43468,1.62251,0.93054,0.19285,0.26353,0.13384,1.97684,2.87846,1.58934,0.000219202,0.000219202,0.000219202
2,52.3084,1.88641,1.83659,1.52358,0.61047,0.38551,0.39599,0.18579,1.95096,1.67739,1.63781,0.000419679,0.000419679,0.000419679
3,73.0038,1.80741,1.55385,1.50076,0.73739,0.40105,0.43137,0.19952,1.92718,1.62805,1.60012,0.000598146,0.000598146,0.000598146
4,93.5956,1.77385,1.44657,1.46125,0.73343,0.40985,0.46333,0.21707,1.90503,1.47391,1.573,0.00056795,0.00056795,0.00056795
5,114.953,1.72626,1.34107,1.4297,0.68215,0.45593,0.48867,0.22302,1.86829,1.41988,1.55746,0.000534934,0.000534934,0.000534934
6,136.145,1.71773,1.33126,1.43885,0.63568,0.46238,0.49207,0.23196,1.83651,1.31101,1.51279,0.000501917,0.000501917,0.000501917
7,157.883,1.69654,1.28386,1.40843,0.86224,0.38992,0.47821,0.22574,1.87408,1.33568,1.54917,0.000468901,0.000468901,0.000468901
8,179.258,1.67941,1.27078,1.40286,0.62309,0.4627,0.49928,0.24094,1.79921,1.30388,1.50578,0.000435884,0.000435884,0.000435884
9,200.891,1.63428,1.20215,1.37535,0.74654,0.47125,0.52417,0.24968,1.80073,1.25482,1.48548,0.000402868,0.000402868,0.000402868
10,222.672,1.6544,1.22717,1.39193,0.6004,0.47887,0.5101,0.24282,1.79837,1.24955,1.49049,0.000369851,0.000369851,0.000369851
11,315.951,1.62458,1.19766,1.41159,0.7672,0.46987,0.52648,0.25282,1.76106,1.21277,1.45713,0.000336835,0.000336835,0.000336835
12,337.719,1.59551,1.13206,1.37711,0.71867,0.50243,0.54228,0.26103,1.7425,1.21421,1.45615,0.000303818,0.000303818,0.000303818
13,359.423,1.55797,1.09439,1.35556,0.79652,0.49364,0.5519,0.26321,1.757,1.17298,1.45839,0.000270802,0.000270802,0.000270802
14,380.47,1.53834,1.0612,1.34865,0.72296,0.51704,0.56791,0.27124,1.73416,1.16693,1.44504,0.000237785,0.000237785,0.000237785
15,402.633,1.53117,1.04554,1.34204,0.65017,0.53759,0.55178,0.26952,1.71325,1.152,1.42042,0.000204769,0.000204769,0.000204769
16,423.989,1.52559,1.02164,1.32924,0.63051,0.53668,0.56167,0.27867,1.7001,1.12092,1.41108,0.000171752,0.000171752,0.000171752
17,445.717,1.48877,1.00317,1.31526,0.71649,0.50343,0.56533,0.28489,1.67781,1.09175,1.39765,0.000138736,0.000138736,0.000138736
18,467.225,1.48101,0.98565,1.30234,0.69398,0.50411,0.56857,0.28601,1.67869,1.0978,1.39746,0.00010572,0.00010572,0.00010572
19,488.828,1.47063,0.97171,1.29435,0.69514,0.52736,0.57312,0.28434,1.67909,1.09282,1.39635,7.2703e-05,7.2703e-05,7.2703e-05
20,510.16,1.45091,0.95704,1.28037,0.72803,0.52356,0.57794,0.28967,1.67383,1.07525,1.39399,3.96865e-05,3.96865e-05,3.96865e-05
